,Accuracy,Embed,Label
0,0.683181017,LDVAE,CellType1
1,0.681898349,LDVAE,CellType1
2,0.681738015,LDVAE,CellType1
3,0.780824114,SCANVI,CellType1
4,0.78362995,SCANVI,CellType1
5,0.779060446,SCANVI,CellType1
6,0.8298998,Recon MCML,CellType1
7,0.835831663,Recon MCML,CellType1
8,0.831743487,Recon MCML,CellType1
9,0.752144289,NCA 100% MCML,CellType1
10,0.836312625,NCA-Recon MCML,CellType1
11,0.843286573,NCA-Recon MCML,CellType1
12,0.844649299,NCA-Recon MCML,CellType1
13,0.883597884,LDVAE,Gender2
14,0.886163219,LDVAE,Gender2
15,0.884559885,LDVAE,Gender2
16,0.904842072,SCANVI,Gender2
17,0.88961039,SCANVI,Gender2
18,0.91350008,SCANVI,Gender2
19,0.910220441,Recon MCML,Gender2
20,0.91238477,Recon MCML,Gender2
21,0.909338677,Recon MCML,Gender2
22,0.872064128,NCA 100% MCML,Gender2
23,0.919438878,NCA-Recon MCML,Gender2
24,0.919438878,NCA-Recon MCML,Gender2
25,0.922885772,NCA-Recon MCML,Gender2
26,0.748777555,NCA 100% MCML,CellType2
27,0.839278557,NCA-Recon MCML,CellType2
28,0.845931864,NCA-Recon MCML,CellType2
29,0.842885772,NCA-Recon MCML,CellType2
30,0.816192385,PCA 50D,CellType1
31,0.814348697,PCA 50D,CellType1
32,0.812905812,PCA 50D,CellType1
33,0.904448898,PCA 50D,Gender2
34,0.907975952,PCA 50D,Gender2
35,0.906853707,PCA 50D,Gender2
