,Accuracy,Embed,Label
0,0.58470458,LDVAE,CellType1
1,0.589119034,LDVAE,CellType1
2,0.589215262,LDVAE,CellType1
3,0.570089973,SCANVI,CellType1
4,0.572146844,SCANVI,CellType1
5,0.573854888,SCANVI,CellType1
6,0.504396358,Recon MCML,CellType1
7,0.50546688,Recon MCML,CellType1
8,0.507271131,Recon MCML,CellType1
9,0.555877648,NCA-Recon MCML,CellType1
10,0.55766987,NCA-Recon MCML,CellType1
11,0.56100172,NCA-Recon MCML,CellType1
12,0.506489289,PCA 50D,CellType1
13,0.506200609,PCA 50D,CellType1
14,0.508016888,PCA 50D,CellType1
15,0.401818685,PCA UMAP Sup.,CellType1
16,0.388286804,PCA UMAP,CellType1
17,0.436965491,PCA t-SNE,CellType1
18,0.405234733,PCA UMAP Sup.,CellType1
19,0.3884552,PCA UMAP,CellType1
20,0.434150859,PCA t-SNE,CellType1
21,0.408975546,PCA UMAP Sup.,CellType1
22,0.388334917,PCA UMAP,CellType1
23,0.43602728,PCA t-SNE,CellType1
