,Latent,Distance,Pearsonr,Dimension
0,Map,Inter-Type,0.44801905422159977,MCML 2D
1,Map,Intra-Type,-0.05590240134752364,MCML 2D
2,Map,Inter-Type,0.2785823521300593,MCML 2D
3,Map,Intra-Type,0.6833120519014158,MCML 2D
4,Map,Inter-Type,0.5168367329967449,MCML 2D
5,Map,Intra-Type,0.51814968845996,MCML 2D
6,Map,Inter-Type,0.47543850598365694,MCML 2D
7,Map,Intra-Type,0.524739639123385,MCML 2D
8,Map,Inter-Type,0.3864674946450882,MCML 2D
9,Map,Intra-Type,0.3670509032072124,MCML 2D
10,Elephant,Inter-Type,0.436085944308868,MCML 2D
11,Elephant,Intra-Type,0.3988492202588992,MCML 2D
12,Elephant,Inter-Type,0.3726411848740766,MCML 2D
13,Elephant,Intra-Type,0.25919011560543653,MCML 2D
14,Elephant,Inter-Type,0.5816201852224885,MCML 2D
15,Elephant,Intra-Type,-0.0699839136460826,MCML 2D
16,Elephant,Inter-Type,0.43907077328077765,MCML 2D
17,Elephant,Intra-Type,0.4988826084888931,MCML 2D
18,Elephant,Inter-Type,0.44015887516162105,MCML 2D
19,Elephant,Intra-Type,0.4581172339038557,MCML 2D
20,Flower,Inter-Type,0.7132136267742563,MCML 2D
21,Flower,Intra-Type,0.48125157555637266,MCML 2D
22,Flower,Inter-Type,0.7366992266518037,MCML 2D
23,Flower,Intra-Type,0.4044137658694177,MCML 2D
24,Flower,Inter-Type,0.7657709269177038,MCML 2D
25,Flower,Intra-Type,0.46687007291307026,MCML 2D
26,Flower,Inter-Type,0.7314904151138684,MCML 2D
27,Flower,Intra-Type,0.46932079066316845,MCML 2D
28,Flower,Inter-Type,0.7218943811932711,MCML 2D
29,Flower,Intra-Type,0.40419643778236175,MCML 2D
30,PCA 50D,Inter-Type,0.7004511119977662,50D
31,PCA 50D,Intra-Type,0.9680609019937088,50D
32,PCA 2D,Inter-Type,0.8966364100783448,2D
33,PCA 2D,Intra-Type,0.9126032258029121,2D
34,PCA TSNE,Inter-Type,0.5702079637896383,2D
35,PCA TSNE,Intra-Type,0.11709618227302139,2D
36,PCA UMAP,Inter-Type,0.4146246734855189,2D
37,PCA UMAP,Intra-Type,0.02245584777028659,2D
38,PCA densSNE,Inter-Type,0.6080703318335631,dens 2D
39,PCA densSNE,Intra-Type,0.3211260847640358,dens 2D
40,PCA densMAP,Inter-Type,0.5035692335500509,dens 2D
41,PCA densMAP,Intra-Type,0.5561361728910266,dens 2D
42,PCA 50D,Inter-Type,0.7020895331018282,50D
43,PCA 50D,Intra-Type,0.9700810200143554,50D
44,PCA 2D,Inter-Type,0.8966363514862965,2D
45,PCA 2D,Intra-Type,0.9126036011610287,2D
46,PCA TSNE,Inter-Type,0.44567621995713247,2D
47,PCA TSNE,Intra-Type,0.08945299669533227,2D
48,PCA UMAP,Inter-Type,0.43778540363548335,2D
49,PCA UMAP,Intra-Type,0.1577263973575593,2D
50,PCA densSNE,Inter-Type,0.590900908487713,dens 2D
51,PCA densSNE,Intra-Type,0.2955885306560571,dens 2D
52,PCA densMAP,Inter-Type,0.5701037261418935,dens 2D
53,PCA densMAP,Intra-Type,0.5726317975112813,dens 2D
54,PCA 50D,Inter-Type,0.7103933591751259,50D
55,PCA 50D,Intra-Type,0.9701690143297567,50D
56,PCA 2D,Inter-Type,0.8966357247236415,2D
57,PCA 2D,Intra-Type,0.9126030157516453,2D
58,PCA TSNE,Inter-Type,0.4738477523610737,2D
59,PCA TSNE,Intra-Type,0.07715208657365216,2D
60,PCA UMAP,Inter-Type,0.39529110626108294,2D
61,PCA UMAP,Intra-Type,0.11469255378169989,2D
62,PCA densSNE,Inter-Type,0.6169004651615027,dens 2D
63,PCA densSNE,Intra-Type,0.3057161022854733,dens 2D
64,PCA densMAP,Inter-Type,0.4955181524780442,dens 2D
65,PCA densMAP,Intra-Type,0.6398817926226578,dens 2D
66,PCA 50D,Inter-Type,0.7015111395640994,50D
67,PCA 50D,Intra-Type,0.9733251980122963,50D
68,PCA 2D,Inter-Type,0.8966367712945682,2D
69,PCA 2D,Intra-Type,0.9126033280935802,2D
70,PCA TSNE,Inter-Type,0.4443654476809387,2D
71,PCA TSNE,Intra-Type,0.09898378686285887,2D
72,PCA UMAP,Inter-Type,0.4807351986233484,2D
73,PCA UMAP,Intra-Type,0.08577131357135036,2D
74,PCA densSNE,Inter-Type,0.5982877162401657,dens 2D
75,PCA densSNE,Intra-Type,0.2815700084417283,dens 2D
76,PCA densMAP,Inter-Type,0.6078292592725416,dens 2D
77,PCA densMAP,Intra-Type,0.5978455250398496,dens 2D
78,PCA 50D,Inter-Type,0.7029057967626845,50D
79,PCA 50D,Intra-Type,0.9706136660340636,50D
80,PCA 2D,Inter-Type,0.896635975365332,2D
81,PCA 2D,Intra-Type,0.9126024134862074,2D
82,PCA TSNE,Inter-Type,0.6112816590770647,2D
83,PCA TSNE,Intra-Type,0.10130945966608433,2D
84,PCA UMAP,Inter-Type,0.4508596352962963,2D
85,PCA UMAP,Intra-Type,0.11947427902435875,2D
86,PCA densSNE,Inter-Type,0.615210362236223,dens 2D
87,PCA densSNE,Intra-Type,0.3278622347988402,dens 2D
88,PCA densMAP,Inter-Type,0.5893377722867019,dens 2D
89,PCA densMAP,Intra-Type,0.556609016968272,dens 2D
