,Latent,Distance,Pearsonr
0,Elephant,Inter-Type,0.5793981287444497
1,Elephant,Intra-Type,0.5832931117142197
2,Elephant,Inter-Type,0.4747419821018134
3,Elephant,Intra-Type,0.33972943480948103
4,Elephant,Inter-Type,0.47751146784687715
5,Elephant,Intra-Type,0.09939376462297522
6,Elephant,Inter-Type,0.5706099019258802
7,Elephant,Intra-Type,0.31772095122524474
8,Elephant,Inter-Type,0.46752990145488743
9,Elephant,Intra-Type,0.23986288986593599
10,Flower,Inter-Type,0.5025950415260575
11,Flower,Intra-Type,0.49686605813942886
12,Flower,Inter-Type,0.5927228159775589
13,Flower,Intra-Type,0.7149460441018267
14,Flower,Inter-Type,0.4892967891559744
15,Flower,Intra-Type,0.15023590998974598
16,Flower,Inter-Type,0.5591957737162624
17,Flower,Intra-Type,0.4034796282945138
18,Flower,Inter-Type,0.4773965405852049
19,Flower,Intra-Type,0.521523745561551
20,PCA 50D,Inter-Type,0.7776374012755645
21,PCA 50D,Intra-Type,0.9027724680344991
22,PCA 2D,Inter-Type,0.6178062607760593
23,PCA 2D,Intra-Type,0.8714835429536534
24,PCA TSNE,Inter-Type,0.6334637089471146
25,PCA TSNE,Intra-Type,-0.04832760362510091
26,PCA UMAP,Inter-Type,0.5009854613634185
27,PCA UMAP,Intra-Type,-0.10083385368415688
28,PCA densSNE,Inter-Type,0.6155362580631305
29,PCA densSNE,Intra-Type,0.21332876263368747
30,PCA densMAP,Inter-Type,0.4807175052016164
31,PCA densMAP,Intra-Type,0.6465491375210328
32,PCA 50D,Inter-Type,0.7774526768931952
33,PCA 50D,Intra-Type,0.9050623961355571
34,PCA 2D,Inter-Type,0.6178214002463029
35,PCA 2D,Intra-Type,0.8714329862093068
36,PCA TSNE,Inter-Type,0.5920690621125776
37,PCA TSNE,Intra-Type,-0.1496244423238717
38,PCA UMAP,Inter-Type,0.5747864977100016
39,PCA UMAP,Intra-Type,-0.03215072006332215
40,PCA densSNE,Inter-Type,0.6127433827144083
41,PCA densSNE,Intra-Type,0.2506430967392759
42,PCA densMAP,Inter-Type,0.5764159015121284
43,PCA densMAP,Intra-Type,0.6726680927768286
44,PCA 50D,Inter-Type,0.7736512451917242
45,PCA 50D,Intra-Type,0.9053771690137125
46,PCA 2D,Inter-Type,0.6178042550116204
47,PCA 2D,Intra-Type,0.871404244965875
48,PCA TSNE,Inter-Type,0.5667181402939447
49,PCA TSNE,Intra-Type,-0.10470229420262825
50,PCA UMAP,Inter-Type,0.554098346347548
51,PCA UMAP,Intra-Type,-0.19423727928405715
52,PCA densSNE,Inter-Type,0.6230309999277326
53,PCA densSNE,Intra-Type,0.18184340979140481
54,PCA densMAP,Inter-Type,0.5795727659915494
55,PCA densMAP,Intra-Type,0.658686922008396
56,PCA 50D,Inter-Type,0.776304052272788
57,PCA 50D,Intra-Type,0.9092931043801504
58,PCA 2D,Inter-Type,0.6177937070597846
59,PCA 2D,Intra-Type,0.871508838487117
60,PCA TSNE,Inter-Type,0.45376109318899377
61,PCA TSNE,Intra-Type,-0.04633891910517659
62,PCA UMAP,Inter-Type,0.49035255056889576
63,PCA UMAP,Intra-Type,-0.21877667194259773
64,PCA densSNE,Inter-Type,0.6104147007188186
65,PCA densSNE,Intra-Type,0.165316317438462
66,PCA densMAP,Inter-Type,0.4854778628121467
67,PCA densMAP,Intra-Type,0.6148709174109639
68,PCA 50D,Inter-Type,0.7744397670459633
69,PCA 50D,Intra-Type,0.8953443361054347
70,PCA 2D,Inter-Type,0.6178655949583559
71,PCA 2D,Intra-Type,0.8714634637392293
72,PCA TSNE,Inter-Type,0.6158033999990324
73,PCA TSNE,Intra-Type,-0.0889618034300756
74,PCA UMAP,Inter-Type,0.47630626831551315
75,PCA UMAP,Intra-Type,-0.06738379005983948
76,PCA densSNE,Inter-Type,0.6193765433017193
77,PCA densSNE,Intra-Type,0.2146668502271591
78,PCA densMAP,Inter-Type,0.4838046761163639
79,PCA densMAP,Intra-Type,0.6943762486716311
