,Latent,Distance,Pearsonr,Dimension
0,Elephant,Inter-Type,0.40740314019522217,MCML 2D
1,Elephant,Intra-Sex,-0.11393608353616427,MCML 2D
2,Elephant,Intra-Type,-0.19270835634510483,MCML 2D
3,Elephant,Inter-Sex,-0.008464574569122349,MCML 2D
4,Elephant,Inter-Type,0.3611996809470744,MCML 2D
5,Elephant,Intra-Sex,0.32458772032770566,MCML 2D
6,Elephant,Intra-Type,0.19571697449824385,MCML 2D
7,Elephant,Inter-Sex,0.34541470841693644,MCML 2D
8,Elephant,Inter-Type,0.4437349237053735,MCML 2D
9,Elephant,Intra-Sex,0.1408881289376992,MCML 2D
10,Elephant,Intra-Type,0.136010617223899,MCML 2D
11,Elephant,Inter-Sex,0.1296613302232645,MCML 2D
12,Elephant,Inter-Type,0.48447987689025124,MCML 2D
13,Elephant,Intra-Sex,0.4493017782960309,MCML 2D
14,Elephant,Intra-Type,0.2900865029500947,MCML 2D
15,Elephant,Inter-Sex,0.39684479761079194,MCML 2D
16,Elephant,Inter-Type,0.6913138651726792,MCML 2D
17,Elephant,Intra-Sex,0.2422318836813479,MCML 2D
18,Elephant,Intra-Type,0.05390111801591846,MCML 2D
19,Elephant,Inter-Sex,0.013897165292981585,MCML 2D
24,PCA 2D,Inter-Type,0.8213449792898335,2D
25,PCA 2D,Intra-Sex,0.4968662616506721,2D
26,PCA 2D,Intra-Type,0.24222630398281425,2D
27,PCA 2D,Inter-Sex,0.4548164066756206,2D
28,PCA TSNE,Inter-Type,0.4867807114325533,2D
29,PCA TSNE,Intra-Sex,-0.08064159037835479,2D
30,PCA TSNE,Intra-Type,-0.05453467299004016,2D
31,PCA TSNE,Inter-Sex,-0.014527731231929835,2D
32,PCA UMAP,Inter-Type,0.4898810880505279,2D
33,PCA UMAP,Intra-Sex,0.05530361062347288,2D
34,PCA UMAP,Intra-Type,0.1635248389460834,2D
35,PCA UMAP,Inter-Sex,0.20864528143901293,2D
36,PCA densSNE,Inter-Type,0.4838213422107391,dens 2D
37,PCA densSNE,Intra-Sex,0.1747241796542458,dens 2D
